RU;74;692;TransparentCalls;0.73;168;39;9
US;4;1579;E-Voice;0.70;498;88;6
GB;73;544;TransparentCalls;0.67;769;45;9
FR;6;1236;TransparentCalls;0.83;757;24;20
BL;79;1431;E-Voice;1.00;618;37;51
AT;75;684;TransparentCalls;0.86;693;86;56
BG;42;302;E-Voice;0.82;398;29;26
DK;58;1756;JustPhone;0.65;179;28;13
CA;45;361;JustPhone;0.81;337;55;20
ES;72;1357;E-Voice;0.63;504;34;32
CH;13;146;JustPhone;0.73;719;64;4
TR;70;1640;TransparentCalls;0.64;491;86;11
PE;5;1959;JustPhone;0.95;247;30;55
NZ;9;1003;JustPhone;0.64;6;88;18
MC;88;702;E-Voice;0.75;350;29;56
